A,"Agriculture, Forestry and Fishing"
B,Mining
C,Manufacturing
D,"Electricity, Gas, Water and Waste Services"
E,Construction
F,Wholesale Trade
G,Retail Trade
H,Accommodation and Food Services
I,"Transport, Postal and Warehousing"
J,Information Media and Telecommunications
K,Financial and Insurance Services
L,"Rental, Hiring and Real Estate Services"
M,"Professional, Scientific and Technical Services"
N,Administrative and Support Services
O,Public Administration and Safety
P,Education and Training
Q,Health Care and Social Assistance
R,Arts and Recreation Services
S,Other Services
T,Other
