11,Nursery and Floriculture Production,1
12,Mushroom and Vegetable Growing,1
13,Fruit and Tree Nut Growing,1
14,"Grain, Sheep and Beef Cattle Farming",1
15,Other Crop Growing,1
16,Dairy Cattle Farming,1
17,Poultry Farming,1
18,Deer Farming,1
19,Other Livestock Farming,1
20,Aquaculture,2
30,Forestry and Logging,3
41,Fishing,4
42,Hunting and Trapping,4
51,Forestry Support Services,5
52,Agriculture and Fishing Support Services,5
60,Coal Mining,6
70,Oil and Gas Extraction,7
80,Metal Ore Mining,8
91,Construction Material Mining,9
99,Other Non-Metallic Mineral Mining and Quarrying,9
101,Exploration,10
109,Other Mining Support Services,10
111,Meat and Meat Product Manufacturing,11
112,Seafood Processing,11
113,Dairy Product Manufacturing,11
114,Fruit and Vegetable Processing,11
115,Oil and Fat Manufacturing,11
116,Grain Mill and Cereal Product Manufacturing,11
117,Bakery Product Manufacturing,11
118,Sugar and Confectionery Manufacturing,11
119,Other Food Product Manufacturing,11
121,Beverage Manufacturing,12
122,Cigarette and Tobacco Product Manufacturing,12
131,"Textile Fibre, Yarn and Woven Fabric Manufacturing",13
132,Leather Tanning and Fur Dressing,13
133,Textile Product Manufacturing,13
134,Knitted Product Manufacturing,13
135,Clothing and Footwear Manufacturing,13
141,Log Sawmilling and Timber Dressing,14
149,Other Wood Product Manufacturing,14
151,"Pulp, Paper and Paperboard Manufacturing",15
152,Converted Paper Product Manufacturing,15
161,Printing,16
162,Reproduction of Recorded Media,16
170,Petroleum Refining and Petroleum and Coal Product Manufacturing,17
181,Chemical Manufacturing,18
182,Basic Polymer Manufacturing,18
183,Fertiliser and Pesticide Manufacturing,18
184,Pharmaceutical and Medicinal Product Manufacturing,18
185,Cleaning Compound and Toiletry Preparation Manufacturing,18
189,Other Basic Chemical Product Manufacturing,18
191,Polymer Product Manufacturing,19
192,Natural Rubber Product Manufacturing,19
201,Glass and Glass Product Manufacturing,20
202,Ceramic Product Manufacturing,20
203,"Cement, Lime, Plaster and Concrete Product Manufacturing",20
209,Other Non-Metallic Mineral Product Manufacturing,20
211,Basic Ferrous Metal Manufacturing,21
212,Basic Ferrous Metal Product Manufacturing,21
213,Basic Non-Ferrous Metal Manufacturing,21
214,Basic Non-Ferrous Metal Product Manufacturing,21
221,Iron and Steel Forging,22
222,Structural Metal Product Manufacturing,22
223,Metal Container Manufacturing,22
224,Other Sheet Metal Product Manufacturing,22
229,Other Fabricated Metal Product Manufacturing,22
231,Motor Vehicle and Motor Vehicle Part Manufacturing,23
239,Other Transport Equipment Manufacturing,23
241,Professional and Scientific Equipment Manufacturing,24
242,Computer and Electronic Equipment Manufacturing,24
243,Electrical Equipment Manufacturing,24
244,Domestic Appliance Manufacturing,24
245,"Pump, Compressor, Heating and Ventilation Equipment Manufacturing",24
246,Specialised Machinery and Equipment Manufacturing,24
249,Other Machinery and Equipment Manufacturing,24
251,Furniture Manufacturing,25
259,Other Manufacturing,25
261,Electricity Generation,26
262,Electricity Transmission,26
263,Electricity Distribution,26
264,On Selling Electricity and Electricity Market Operation,26
270,Gas Supply,27
281,"Water Supply, Sewerage and Drainage Services",28
291,Waste Collection Services,29
292,"Waste Treatment, Disposal and Remediation Services",29
301,Residential Building Construction,30
302,Non-Residential Building Construction,30
310,Heavy and Civil Engineering Construction,31
321,Land Development and Site Preparation Services,32
322,Building Structure Services,32
323,Building Installation Services,32
324,Building Completion Services,32
329,Other Construction Services,32
331,Agricultural Product Wholesaling,33
332,"Mineral, Metal and Chemical Wholesaling",33
333,Timber and Hardware Goods Wholesaling,33
341,Specialised Industrial Machinery and Equipment Wholesaling,34
349,Other Machinery and Equipment Wholesaling,34
350,Motor Vehicle and Motor Vehicle Parts Wholesaling,35
360,"Grocery, Liquor and Tobacco Product Wholesaling",36
371,"Textile, Clothing and Footwear Wholesaling",37
372,Pharmaceutical and Toiletry Goods Wholesaling,37
373,"Furniture, Floor Coverings and Other Goods Wholesaling",37
380,Commission Based Wholesaling,38
391,Motor Vehicle Retailing,39
392,Motor Vehicle Parts Retailing,39
400,Fuel Retailing,40
411,Supermarket and Grocery Stores,41
412,Specialised Food Retailing,41
421,"Furniture, Floor Coverings, Houseware and Textile Goods Retailing",42
422,Electrical and Electronic Goods Retailing,42
423,"Hardware, Building and Garden Supplies Retailing",42
424,Recreational Goods Retailing,42
425,"Clothing, Footwear and Personal Accessories Retailing",42
426,Department Stores,42
427,Pharmaceutical and Other Store-Based Retailing,42
431,Non Store Retailing,43
432,Retail Commission Based Buying and/or Selling,43
440,Accommodation,44
451,"Cafes, Restaurants and Takeaway Food Services",45
452,"Pubs, Taverns and Bars",45
453,Clubs (Hospitality),45
461,Road Freight Transport,46
462,Road Passenger Transport,46
471,Rail Freight Transport,47
472,Rail Passenger Transport,47
481,Water Freight Transport,48
482,Water Passenger Transport,48
490,Air and Space Transport,49
501,Scenic and Sightseeing Transport,50
502,Pipeline and Other Transport,50
510,Postal and Courier Pick-up and Delivery Services,51
521,Water Transport Support Services,52
522,Air Transport Support Services,52
529,Other Transport Support Services,52
530,Warehousing and Storage Services,53
541,"Newspaper, Periodical, Book and Directory Publishing",54
542,Software Publishing,54
551,Motion Picture and Video Activities,55
552,Sound Recording and Music Publishing,55
561,Radio Broadcasting,56
562,Television Broadcasting,56
570,Internet Publishing and Broadcasting,57
580,Telecommunications Services,58
591,Internet Service Providers and Web Search Portals,59
592,"Data Processing, Web Hosting and Electronic Information Storage Services",59
601,Libraries and Archives,60
602,Other Information Services,60
621,Central Banking,62
622,Depository Financial Intermediation,62
623,Non-depository Financing,62
624,Financial Asset Investing,62
631,Life Insurance,63
632,Health and General Insurance,63
633,Superannuation Funds,63
641,Auxiliary Finance and Investment Services,64
642,Auxiliary Insurance Services,64
661,Motor Vehicle and Transport Equipment Rental and Hiring,66
662,Farm Animals and Bloodstock Leasing,66
663,Other Goods and Equipment Rental and Hiring,66
664,Non-Financial Intangible Assets (except Copyrights) Leasing,66
671,Property Operators,67
672,Real Estate Services,67
691,Scientific Research Services,69
692,"Architectural, Engineering and Technical Services",69
693,Legal and Accounting Services,69
694,Advertising Services,69
695,Market Research and Statistical Services,69
696,Management and Other Consulting Services,69
697,Veterinary Services,69
699,"Other Professional, Scientific and Technical Services",69
700,Computer Systems Design and Related Services,70
721,Employment Services,72
722,Travel Agency Services,72
729,Other Administrative Services,72
731,"Building Cleaning, Pest Control and Gardening Services",73
732,Packaging and Labelling Services,73
751,Central Government Administration,75
752,State Government Administration,75
753,Local Government Administration,75
754,Justice,75
755,Government Representation,75
760,Defence,76
771,Public Order and Safety Services,77
772,Regulatory Services,77
801,Preschool Education,80
802,School Education,80
810,Tertiary Education,81
821,"Adult, Community and Other Education",82
822,Educational Support Services,82
840,Hospitals,84
851,Medical Services,85
852,Pathology and Diagnostic Imaging Services,85
853,Allied Health Services,85
859,Other Health Care Services,85
860,Residential Care Services,86
871,Child Care Services,87
879,Other Social Assistance Services,87
891,Museum Operation,89
892,Parks and Gardens Operations,89
900,Creative and Performing Arts Activities,90
911,Sport and Physical Recreation Activities,91
912,Horse and Dog Racing Activities,91
913,Amusement and Other Recreation Activities,91
920,Gambling Activities,92
941,Automotive Repair and Maintenance,94
942,Machinery and Equipment Repair and Maintenance,94
949,Other Repair and Maintenance,94
951,Personal Care Services,95
952,"Funeral, Crematorium and Cemetery Services",95
953,Other Personal Services,95
954,Religious Services,95
955,"Civic, Professional and Other Interest Group Services",95
960,Private Households Employing Staff,96
994,Other,99
995,Other,99
997,Other,99
998,Other,99
999,Other,99
